NO,imageURL,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
99,https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png,PancakeSwap,฿52.68,0.31%,0.44%,0.64%,"฿11,083,246,513","฿387,254,880","210,012,354 CAKE"
100,https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png,Enjin Coin,฿10.90,0.47%,0.97%,1.71%,"฿10,902,662,037","฿841,232,330","1,000,000,000 ENJ"
101,https://s2.coinmarketcap.com/static/img/coins/64x64/7950.png,Flare,฿0.5048,0.33%,1.92%,2.15%,"฿10,466,056,628","฿337,589,861,249","20,733,888,540 FLR"
102,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png,Basic Attention Token,฿7.02,0.41%,0.65%,7.22%,"฿10,458,525,708","฿154,135,258,094","1,489,852,087 BAT"
103,https://s2.coinmarketcap.com/static/img/coins/64x64/7653.png,Oasis Network,฿1.82,0.20%,2.03%,2.47%,"฿10,439,999,313","฿555,907,769,302","5,725,718,533 ROSE"
104,https://s2.coinmarketcap.com/static/img/coins/64x64/8536.png,Mask Network,฿126.61,0.19%,2.21%,2.01%,"฿10,396,492,989","฿49,034,538,874","82,112,500 MASK"
105,https://s2.coinmarketcap.com/static/img/coins/64x64/1659.png,Gnosis,"฿4,017.62",0.29%,0.36%,1.94%,"฿10,403,973,942","฿9,861,151,684","2,589,588 GNO"
106,https://s2.coinmarketcap.com/static/img/coins/64x64/11865.png,Bone ShibaSwap,฿34.52,0.21%,0.22%,1.56%,"฿926,990,468,345","฿67,703,787,713","26,853,595,125 BONE"
107,https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png,Loopring,฿10.81,0.20%,0.87%,2.94%,"฿10,254,685,334","฿5,490,677,261","34,997,078,646 LRC"
108,https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png,Qtum,฿2.45,0.02%,0.19%,0.66%,"฿9,794,627,650","฿10,221,150,800","140,298,326,384 QTUM"
109,https://s2.coinmarketcap.com/static/img/coins/64x64/2424.png,SingularityNET,฿842.59,0.17%,1.35%,14.45%,"฿9,841,356,838","฿11,042,489,226","404,138,466 AGIX"
110,https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png,Convex Finance,฿2.85,0.28%,2.23%,1.25%,"฿9,591,188,073","฿8,066,903,468","89,695,449,640 CVX"
111,https://s2.coinmarketcap.com/static/img/coins/64x64/4041.png,MX TOKEN,฿25.78,0.23%,0.88%,5.52%,"฿240,216,360,850","฿6,918,627,478","9,319,469,069 MX"
112,https://s2.coinmarketcap.com/static/img/coins/64x64/13855.png,Ethereum Name Service,"฿3,189.33",0.16%,0.39%,2.61%,"฿234,188,972,995","฿12,094,073,406","73,428,864 ENS"
113,https://s2.coinmarketcap.com/static/img/coins/64x64/3822.png,Theta Fuel,฿183.65,0.03%,1.65%,2.57%,"฿221,875,299,195","฿3,886,157,912","1,208,131,139 TFUEL"
114,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,NEM,฿49.76,0.94%,2.35%,4.21%,"฿170,758,242,790","฿1,199,273,747","3,431,892,088 XEM"
115,https://s2.coinmarketcap.com/static/img/coins/64x64/9258.png,Chia,"฿8,561.16",0.02%,1.91%,3.60%,"฿166,776,918,455","฿10,673,364,728","19,456,969 XCH"
116,https://s2.coinmarketcap.com/static/img/coins/64x64/23121.png,Blur,"฿1,029,870.90",0.38%,0.32%,3.02%,"฿8,920,534,932","฿2,061,120,893","161,275 BLUR"
117,https://s2.coinmarketcap.com/static/img/coins/64x64/3783.png,Ankr,฿461.12,0.13%,1.76%,9.07%,"฿8,853,706,034","฿3,370,074,084","345,913,863 ANKR"
118,https://s2.coinmarketcap.com/static/img/coins/64x64/12220.png,Osmosis,฿0.0002694,0.19%,0.31%,3.41%,"฿8,569,420,245","฿2,195,264,022","589,346,914,631,298 OSMO"
119,https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png,Ravencoin,฿34.48,0.20%,0.33%,1.68%,"฿8,541,736,548","฿1,853,258,710","4,599,846,934 RVN"
120,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png,Celo,฿5.30,0.06%,1.74%,12.98%,"฿144,282,572,568","฿6,189,959,704","27,222,889,606 CELO"
121,https://s2.coinmarketcap.com/static/img/coins/64x64/18069.png,STEPN,฿267.21,0.28%,2.45%,13.71%,"฿8,478,710,800","฿8,845,523,162","538,099,970 GMT"
122,https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png,Bitcoin Gold,฿34.51,0.19%,0.26%,1.59%,"฿8,301,957,410","฿43,505,259,182","3,851,534,146 BTG"
123,https://s2.coinmarketcap.com/static/img/coins/64x64/5728.png,Balancer,฿136.36,1.15%,1.87%,2.57%,"฿7,993,816,926","฿31,483,118","929,772,211 BAL"
124,https://s2.coinmarketcap.com/static/img/coins/64x64/1168.png,Decred,฿208.43,0.37%,0.23%,1.29%,"฿7,879,688,611","฿2,592,689,565","577,501,036 DCR"
125,https://s2.coinmarketcap.com/static/img/coins/64x64/10804.png,FLOKI,฿316.56,0.01%,1.72%,4.93%,"฿7,737,828,062","฿1,882,402,090","346,608,690 FLOKI"
126,https://s2.coinmarketcap.com/static/img/coins/64x64/3911.png,Ocean Protocol,"฿5,628.57",0.03%,0.73%,2.33%,"฿7,698,078,002","฿3,359,721,302","18,309,106 OCEAN"
127,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png,Waves,฿34.50,0.17%,0.27%,1.59%,"฿7,681,696,163","฿48,843,902,403","2,807,559,001 WAVES"
128,https://s2.coinmarketcap.com/static/img/coins/64x64/2099.png,ICON,฿639.67,0.03%,0.47%,4.33%,"฿7,676,016,334","฿3,890,685,406","142,140,186 ICX"
129,https://s2.coinmarketcap.com/static/img/coins/64x64/2682.png,Holo,"฿1,486.65",0.26%,0.25%,4.04%,"฿7,657,415,210","฿41,206,590","60,000,000 HOT"
130,https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png,yearn.finance,฿156.81,0.18%,2.56%,1.47%,"฿68,574,568,217","฿4,489,573,261","437,378,904 YFI"
131,https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png,Helium,฿144.76,0.32%,2.12%,0.17%,"฿63,575,687,146","฿752,983,757","439,167,337 HNT"
132,https://s2.coinmarketcap.com/static/img/coins/64x64/8119.png,SafePal,฿69.49,0.09%,0.29%,10.31%,"฿7,429,329,972","฿1,280,184,005","878,715,842 SFP"
133,https://s2.coinmarketcap.com/static/img/coins/64x64/20314.png,Terra,฿1.82,0.22%,1.28%,0.39%,"฿59,056,404,484","฿1,604,155,710","32,399,966,653 LUNA"
134,https://s2.coinmarketcap.com/static/img/coins/64x64/17751.png,Threshold,฿259.50,0.00%,2.89%,2.61%,"฿7,318,681,750","฿2,242,526,221","217,061,364 T"
135,https://s2.coinmarketcap.com/static/img/coins/64x64/1455.png,Golem,฿42.62,0.20%,0.07%,7.79%,"฿7,183,334,010","฿4,656,540,080","1,275,000,000 GLM"
136,https://s2.coinmarketcap.com/static/img/coins/64x64/5488.png,JUST,฿2.07,0.50%,1.19%,2.07%,"฿7,181,609,935","฿249,654,474","25,263,013,692 JST"
137,https://s2.coinmarketcap.com/static/img/coins/64x64/4279.png,Solar,฿0.6668,0.15%,1.17%,2.67%,"฿7,106,909,980","฿1,103,000,016","72,714,516,834 SXP"
138,https://s2.coinmarketcap.com/static/img/coins/64x64/2300.png,WAX,฿49.68,0.32%,1.29%,3.56%,"฿6,897,551,898","฿1,450,889,019","940,149,811 WAXP"
139,https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png,Arweave,"฿3,590.92",0.46%,0.89%,1.11%,"฿43,368,873,881","฿524,665,934","12,072,738 AR"
140,https://s2.coinmarketcap.com/static/img/coins/64x64/12885.png,Astar,฿4.03,0.08%,0.25%,4.79%,"฿6,865,105,925","฿651,129,805","9,105,437,142 ASTR"
141,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png,Kusama,฿53.91,0.13%,0.55%,1.09%,"฿6,826,384,242","฿4,678,322,518","679,080,066 KSM"
142,https://s2.coinmarketcap.com/static/img/coins/64x64/7455.png,Audius,"฿36,285.14",0.48%,5.15%,5.24%,"฿6,741,012,261","฿2,645,158,605","977,631 AUDIO"
143,https://s2.coinmarketcap.com/static/img/coins/64x64/21296.png,EthereumPoW,฿19.48,0.83%,0.63%,1.81%,"฿6,692,258,056","฿4,624,062","1,843,669,839 ETHW"
144,https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png,Siacoin,"฿2,466.36",0.16%,1.33%,10.28%,"฿6,531,055,149","฿1,377,944,265","14,488,264 SC"
145,https://s2.coinmarketcap.com/static/img/coins/64x64/8425.png,JasmyCoin,฿3.93,0.16%,1.33%,6.68%,"฿6,448,089,937","฿1,200,971,827","7,794,018,322 JASMY"
146,https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png,IoTeX,฿21.44,0.00%,0.78%,3.80%,"฿6,405,262,333","฿534,924,600","1,395,622,272 IOTX"
147,https://s2.coinmarketcap.com/static/img/coins/64x64/2299.png,aelf,฿15.45,0.22%,0.01%,1.78%,"฿6,335,499,878","฿2,231,612,686","1,934,931,926 ELF"
148,https://s2.coinmarketcap.com/static/img/coins/64x64/5370.png,Hive,"฿1,154.62",0.02%,0.59%,12.60%,"฿6,322,884,727","฿447,028,575","25,742,132 HIVE"
